stm32_pin,package_pin,net,af_signal,af,peripheral,note
PA11,103,Net-(U19-PA11),FSMC,AF12,FSMC,
PA12,104,Net-(U19-PA12),FSMC,AF12,FSMC,
PD0,114,/FPGA/FSMC.D2,FSMC_D2,AF12,FSMC,
PD1,115,/FPGA/FSMC.D3,FSMC_D3,AF12,FSMC,
PD10,79,/FPGA/FSMC.D15,FSMC_D15,AF12,FSMC,
PD11,80,/FPGA/FSMC.A16,FSMC_A16,AF12,FSMC,
PD12,81,/FPGA/FSMC.A17,FSMC_A17,AF12,FSMC,
PD13,82,/FPGA/FSMC.A18,FSMC_A18,AF12,FSMC,
PD14,85,/FPGA/FSMC.D0,FSMC_D0,AF12,FSMC,
PD15,86,/FPGA/FSMC.D1,FSMC_D1,AF12,FSMC,
PD4,118,/FPGA/FSMC.NOE,FSMC_NOE,AF12,FSMC,
PD5,119,/FPGA/FSMC.NWE,FSMC_NWE,AF12,FSMC,
PD6,122,/FPGA/FSMC.NWAIT,FSMC_NWAIT,AF12,FSMC,
PD7,123,/FPGA/FSMC.NE1,FSMC_NE1,AF12,FSMC,
PD8,77,/FPGA/FSMC.D13,FSMC_D13,AF12,FSMC,
PD9,78,/FPGA/FSMC.D14,FSMC_D14,AF12,FSMC,
PE0,141,/FPGA/FSMC.NBL0,FSMC_NBL0,AF12,FSMC,
PE1,142,/FPGA/FSMC.NBL1,FSMC_NBL1,AF12,FSMC,
PE10,63,/FPGA/FSMC.D7,FSMC_D7,AF12,FSMC,
PE11,64,/FPGA/FSMC.D8,FSMC_D8,AF12,FSMC,
PE12,65,/FPGA/FSMC.D9,FSMC_D9,AF12,FSMC,
PE13,66,/FPGA/FSMC.D10,FSMC_D10,AF12,FSMC,
PE14,67,/FPGA/FSMC.D11,FSMC_D11,AF12,FSMC,
PE15,68,/FPGA/FSMC.D12,FSMC_D12,AF12,FSMC,
PE3,2,/FPGA/FSMC.A19,FSMC_A19,AF12,FSMC,
PE4,3,/FPGA/FSMC.A20,FSMC_A20,AF12,FSMC,
PE5,4,/FPGA/FSMC.A21,FSMC_A21,AF12,FSMC,
PE6,5,/FPGA/FSMC.A22,FSMC_A22,AF12,FSMC,
PE7,58,/FPGA/FSMC.D4,FSMC_D4,AF12,FSMC,
