group,net_name,port_suggested,fpga_ball,pinfunction,pintype,direction,connects_to
FPGA,/FPGA/FPGA.IRQ,FPGA_IRQ,A3,IO,bidirectional,out,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/FPGA.GPIO4,FPGA_GPIO[4],A4,IO,bidirectional,inout,Edge conn via U29
FPGA,/FPGA/FSMC.A8,FSMC_A[8],A5,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A11,FSMC_A[11],A6,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D6,FSMC_D[6],A7,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D9,FSMC_D[9],A8,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D12,FSMC_D[12],A9,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D15,FSMC_D[15],A10,IO,bidirectional,inout,STM32 U19 (direct)
Misc,Net-(U30J-CLK8),CLK27_A12,A12,CLK8,input,in,Si5351 Y5 via R98
FPGA,/FPGA/FSMC.A12,FSMC_A[12],A13,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A15,FSMC_A[15],A14,IO,bidirectional,in,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A3,PBI_A[3],A15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A9,PBI_A[9],A16,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A13,PBI_A[13],A17,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.D0,PBI_D[0],A18,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.D3,PBI_D[3],A19,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.D6,PBI_D[6],A20,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/FPGA.GPIO1,FPGA_GPIO[1],B3,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/FPGA.GPIO3,FPGA_GPIO[3],B4,IO,bidirectional,inout,Edge conn via U29
FPGA,/FPGA/FSMC.A7,FSMC_A[7],B5,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A10,FSMC_A[10],B6,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D5,FSMC_D[5],B7,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D8,FSMC_D[8],B8,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D11,FSMC_D[11],B9,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.D14,FSMC_D[14],B10,IO,bidirectional,inout,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A13,FSMC_A[13],B13,IO,bidirectional,in,STM32 U19 (direct)
FPGA,/FPGA/FSMC.A14,FSMC_A[14],B14,IO,bidirectional,in,STM32 U19 (direct)
AtariInterfaces,/AtariInterfaces/PBI.A1,PBI_A[1],B15,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A10,PBI_A[10],B16,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.A14,PBI_A[14],B17,IO,bidirectional,inout,Edge conn via U29
AtariInterfaces,/AtariInterfaces/PBI.D1,PBI_D[1],B18,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.D4,PBI_D[4],B19,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.D7,PBI_D[7],B20,IO,bidirectional,inout,Edge conn via U29/U33
AtariInterfaces,/AtariInterfaces/PBI.PHI2,PBI_PHI[2],B21,IO,bidirectional,inout,Edge conn via U33
AtariInterfaces,/AtariInterfaces/PBI.EXTSEL,PBI_EXTSEL,B22,IO,bidirectional,inout,Edge conn via U33
