Designator,MidX,MidY,Layer,Rotation
BT1,80.84,-30.86,top,180
C1,108.63,-24.15,top,90
C2,86.93,-25.035,top,90
C3,94.48,-28.405,top,90
C4,102.26,-29.405,top,90
C5,219.625,-29.56,top,0
C6,115.065,-32.005,top,180
C7,20.48,-34.285,top,-90
C8,116.71,-37.575,top,90
C9,118.52,-37.6,top,90
C10,100.495,-37.89,top,180
C11,236.5,-39.385,top,90
C12,17.475,-41.18,top,180
C13,236.5,-42.825,top,-90
C14,20.31,-43.43,top,-90
C15,97.91,-44.075,top,-90
C16,99.76,-44.09,top,-90
C17,18.5,-46.28,top,0
C18,68.695,-46.96,top,0
C19,104.47,-47.075,top,-90
C20,106.42,-47.085,top,-90
C21,68.705,-48.51,top,180
C22,93.135,-48.53,top,0
C23,18.525,-49.09,top,0
C24,118.785,-49.26,top,180
C25,76.02,-49.825,top,90
C26,90.67,-49.97,top,-90
C27,108.74,-50.14,top,0
C28,101.38,-50.15,top,0
C29,93.315,-50.44,top,0
C30,21.08,-50.71,top,-90
C31,76.835,-52.2,top,180
C32,86.63,-52.21,top,0
C33,235.425,-52.325,top,90
C34,18.73,-53.46,top,0
C35,18.885,-55.2,top,0
C36,235.425,-55.675,top,-90
C37,21.45,-56.85,top,-90
C38,83.03,-58.4,top,0
C39,70.05,-58.82,top,-90
C40,71.83,-58.865,top,90
C41,19.14,-59.58,top,0
C42,83.03,-59.95,top,0
C43,86.115,-61.88,top,180
C44,22.34,-65.285,top,-90
C45,20.32,-66.035,top,-90
C46,113.21,-66.245,top,-90
C47,234.465,-66.535,top,90
C48,47.415,-68.94,top,180
C49,234.465,-70.085,top,-90
C50,74.43,-71.45,top,90
C51,86.815,-71.52,top,180
C52,70.68,-71.72,top,90
C53,68.7,-71.755,top,90
C54,109.62,-75.97,top,0
C55,96.48,-76.31,top,-90
C56,17.305,-76.87,top,0
C57,113.245,-77.67,top,180
C58,47.67,-80.33,top,90
C59,234.59,-82.365002,top,90
C60,47.865,-83.88,top,0
C61,75.45,-84.37,top,90
C62,50.855,-84.48,top,180
C63,73.96,-85.215,top,90
C64,47.845,-85.42,top,180
C65,234.69,-86.065002,top,-90
C66,17.125,-87.06,top,0
C67,35.95,-90.325,top,90
C68,192.91,-91.28,top,180
C69,82.42,-94.84,top,0
C70,89.27,-95.79,top,180
C71,48.06,-96.25,top,180
C72,43.175,-98.44,top,180
C73,36.17,-98.95,top,0
C74,240.365,-101.74,top,180
C75,193.595,-103.4,top,180
C76,36.1,-104.9,top,90
C77,74.65,-106.31,top,0
C78,89.21,-107.98,top,180
C79,49.72,-109.64,top,0
C80,240.715,-110.51,top,180
C81,44.6,-112.07,top,180
C82,159.635,-112.69,top,180
C83,156.575,-112.7,top,0
C84,208.03,-116.63,top,180
C85,45.08,-117.685,top,-90
C86,69.79,-117.895,top,-90
C87,205.21,-119.19,top,90
C88,207.29,-119.2,top,-90
C89,209.29,-119.215,top,90
C90,75.05,-121.405,top,90
C91,212.64,-124.3,top,0
C92,167.1,-125.025,top,-90
C93,41.95,-125.29,top,90
C94,169.19,-125.39,top,-90
C95,201.98,-126.84,top,-90
C96,205.79,-129.695,top,-90
C97,209.85,-129.75,top,-90
C98,208.32,-129.76,top,90
C99,229.77,-134.5,top,90
C100,231.99,-135.275,top,90
C101,208.41,-136.505,top,90
C102,205.76,-136.545,top,90
Card1,32.41,-60.1827,top,-90
Card2,245.2343,-134.2,top,90
D1,41,-32.64,top,0
D2,115.255,-52.795,top,90
EDGE1,163.72,-15.87,top,0
F1,215.135,-29.58,top,0
F2,41.26,-29.8,top,0
F3,130.54,-35.02,top,0
F4,200.355,-35.66,top,180
F5,241.425,-35.85,top,180
F6,151.88,-37.155,top,-90
F7,239.395,-93.91,top,0
F8,241.3,-117.11,top,90
FB1,94.89,-44.82,top,0
FB2,68.11,-58.86,top,90
FB3,70.78,-68.2325,top,-90
FB4,72.54,-71.2725,top,-90
FB5,49.36,-80.4375,top,-90
FB6,208.11,-114.71,top,0
FB7,43.58,-125.5575,top,-90
J1,92.33,-12.15,top,0
J2,102.58,-12.15,top,0
J3,236.69,-15.6845,top,180
J4,39.06,-17.8,top,180
J5,193.9,-22.76,top,-90
J6,67.12,-15.7402,top,180
J7,136.875,-31.5675,top,0
J8,141.98,-36.5425,top,-90
J9,115.36,-43.58,top,-90
J10,73.84,-44.17,top,90
J11,258.62,-44.99,top,90
J12,77.515,-55.37,top,0
J13,164.23,-56.23,top,0
J14,60.98,-66.14,top,0
J15,258.62,-77.17,top,90
J16,26.35,-77.79,top,-90
J17,102.48,-86.93,top,-90
J18,145.84,-96,top,-90
J19,229.2,-96.41,top,-90
J20,248.295,-96.9375,top,90
J21,25.35,-102.24,top,180
J22,215.53,-102.83,top,0
J23,161.66,-103.91,top,180
J24,248.345,-105.9375,top,90
J25,248.355,-114.9375,top,90
J26,14.93,-115.89,top,0
JP1,120.14,-59.75,top,-90
L1,15.35,-44.58,top,90
L2,15.63,-51.96,top,90
L3,15.99,-57.855,top,90
Q1,206.64,-35.8,top,180
Q2,115.0375,-48.46,top,180
R1,108.63,-21.075,top,90
R2,86.93,-21.96,top,-90
R3,47.265,-23.97,top,180
R4,117.995,-24.49,top,0
R5,115.65,-25.255,top,-90
R6,90.595,-26.3,top,0
R7,113.165,-26.74,top,180
R8,104.315,-27.175,top,-90
R9,110.75,-27.465,top,-90
R10,107.89,-27.99,top,0
R11,150.2,-28.575,top,-90
R12,140.24,-28.605,top,-90
R13,146.41,-28.61,top,-90
R14,49.925,-28.67,top,0
R15,193.5,-29.225,top,-90
R16,107.085,-29.57,top,0
R17,23.1,-29.815,top,-90
R18,25.08,-29.855,top,-90
R19,118.215,-32.005,top,0
R20,130.555,-32.57,top,0
R21,99.685,-33.47,top,0
R22,117.56,-34.425,top,180
R23,113.66,-36.205,top,90
R24,130.575,-37.17,top,0
R25,115.16,-37.575,top,-90
